Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),87098.64541858072,2534.219,2626.150,2606.292,2674.899,2653.335,2288.024,2090.243,2253.806,2774.807,2950.525,2964.540,2949.078,2882.566,2507.736,2299.419,2468.844,2983.203,3260.262,3317.413,3224.322,3072.449,2689.124,2479.582,2648.649,2775.812,2979.157,3005.412,2989.507,2880.639,2502.411,2299.816,2466.406
TWN.Central,TWNZ0,Residual Demand(GWh),0,1784.756,1463.166,1877.164,2578.954,2609.756,2252.607,2054.077,2175.591,1909.182,1738.032,2149.118,2806.179,2856.631,2485.071,2275.924,2319.789,2224.306,2254.475,2666.946,3094.378,3045.901,2661.366,2452.082,2486.744,2029.740,1846.575,2276.758,2886.721,2841.317,2468.502,2266.026,2361.041
TWN.Central,TWNZ0,Zone Supply(GWh),63981.67714618201,1670.112,1333.903,1676.033,1829.269,1821.790,1341.856,960.971,1326.853,2175.286,2314.249,2412.111,2222.923,2096.473,2092.823,1888.474,2051.914,2166.247,2433.236,2682.899,2785.066,2691.452,2106.043,2083.551,2087.782,1842.281,2206.454,2161.402,2198.560,2121.425,1803.678,1612.609,1783.953
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,4020.0968388142674,158.835,357.013,91.492,0.000,0.000,0.000,0.000,0.000,201.006,403.667,109.195,59.160,15.246,24.398,0.000,0.000,419.563,530.926,326.294,0.000,0.000,39.749,79.384,135.246,362.144,530.749,112.862,39.857,23.312,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,1728.5979829529406,0.000,0.000,0.000,0.000,0.000,80.822,278.585,90.653,0.000,0.000,0.000,219.661,284.776,0.000,0.000,0.000,119.619,0.000,0.000,149.133,161.008,206.533,0.000,137.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,714.6217066237339,84.280,295.739,51.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,70.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,211.944,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,18376.0810498442,834.251,857.263,894.472,910.156,896.071,865.346,850.687,836.301,398.515,409.014,443.233,447.334,415.388,390.515,410.945,416.930,277.775,296.099,308.220,301.069,306.428,336.799,316.647,287.815,683.094,699.182,731.148,751.090,735.902,698.733,687.207,682.453
TWN.Central,TWNZ0,Export to: TWNZ3,97.38472854480791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.946,86.439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,1495.9904143192875,213.259,217.767,107.680,0.000,0.000,0.000,0.000,0.000,0.000,176.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,111.707,669.173,0.000,0.000,0.000,0.000,0.000,0.000
