Item,Unit,2015,2020,2025,2030,2035,2040,2045,2050
Electricity Demand,GWh,241531,249154,279326,311396,343844,377431,411853,446758
Electricity Supply,GWh,241741,249222,279397,311564,343988,377597,411971,447081
Electricity Spilled,GWh,1,0,0,0,0,0,0,2
Electricity Import,GWh,0,0,0,0,0,0,0,0
Electricity Export,GWh,0,0,0,0,0,0,0,0
Renewable Gen. to Demand,%,5.2,11.6,18.2,20.9,19.9,18.1,16.6,18.3
CO2 Emission,K.Tonnes,163675,164057,197768,204553,226569,246786,266411,278971
CO2 Sequestration,K.Tonnes,0,0,0,0,0,0,0,0
Annual Variable Cost,M.USD,7845,9934,13469,15637,18655,21983,25303,28160
Annual Fixed Cost,M.USD,5195,6448,6875,7573,7900,8256,8917,10162
Fuel Consumption Coal,TJ,1586800,1733572,2090543,2158418,2390074,2607910,2816155,2948919
Fuel Consumption Gas,TJ,240897,213,0,6478,8292,1330,0,0
Fuel Consumption Oil,TJ,0,0,0,0,0,0,0,0
Fuel Consumption Uranium,TJ,462311,462311,0,0,0,0,0,0
Fuel Consumption Biomass,TJ,28649,28649,28649,28649,28649,28506,28506,28506
Capacity - Coal,MW,23330,30645,40092,41288,46216,53370,58926,65770
Capacity - Coal CCS,MW,0,0,0,0,0,0,0,0
Capacity - Gas,MW,23054,23054,17771,17771,12320,6905,8378,8378
Capacity - Gas CCS,MW,0,0,0,0,0,0,0,0
Capacity - Oil,MW,3342,3342,3342,51,0,0,0,0
Capacity - Nuclear,MW,5214,5214,0,0,0,0,0,0
Capacity - Biomass,MW,412,412,412,412,412,412,412,412
Capacity - BECCS,MW,0,0,0,0,0,0,0,0
Capacity - Pump Hydro Storage,MW,2600,2600,2600,2600,2600,2600,2600,2600
Capacity - Battery Storage,MW,0,234,1040,1354,1490,2231,1916,1715
Capacity - Hydropower,MW,2110,4178,4178,4178,4178,4178,4178,4200
Capacity - Wind,MW,647,2652,3121,3903,3446,3431,3431,3431
Capacity - Offshore Wind,MW,150,150,150,0,0,0,0,3455
Capacity - PV,MW,842,2618,16995,27142,30343,30361,30361,30361
Capacity - Other Renewables,MW,0,200,200,200,200,200,200,200
Generation - Coal,GWh,157584,181546,228500,245473,274462,309120,343686,365383
Generation - Coal CCS,GWh,0,0,0,0,0,0,0,0
Generation - Gas,GWh,33074,31,0,944,1209,195,0,0
Generation - Gas CCS,GWh,0,0,0,0,0,0,0,0
Generation - Oil,GWh,0,0,0,0,0,0,0,0
Generation - Nuclear,GWh,38641,38641,0,0,0,0,0,0
Generation - Biomass,GWh,2283,2283,2283,2283,2283,2283,2283,2283
Generation - BECCS,GWh,0,0,0,0,0,0,0,0
Generation - Hydropower,GWh,7446,14674,14674,14674,14674,14674,14664,14763
Generation - Wind,GWh,1103,6405,7299,8650,8142,8093,8093,8093
Generation - Offshore Wind,GWh,579,579,579,0,0,0,0,13298
Generation - PV,GWh,1113,3661,24678,38171,41851,41873,41873,41873
Generation - Other Renewables,GWh,0,1402,1402,1402,1402,1402,1402,1402
