Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,COA_SUB,Gross Output,1855.5,0.00,0.00,0.00,1573.97,1669.95,0.00,0.00,0.00,0.00,0.00,0.00,533.50,887.64,0.00,0.00,0.00,0.00,1.59,30.06,1654.92,1654.92,243.74,0.00,12.37,0.00,0.00,0.00,736.91,718.71,0.00,0.00,0.00
TWN.Central,TWNZ0,COA_SUB,Net Output,1855.5,0.00,0.00,0.00,1463.79,1553.05,0.00,0.00,0.00,0.00,0.00,0.00,496.16,825.51,0.00,0.00,0.00,0.00,1.48,27.95,1539.08,1539.08,226.68,0.00,11.51,0.00,0.00,0.00,685.33,668.40,0.00,0.00,0.00
TWN.Central,TWNZ0,COA_SUB,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.03,15.03,0.00,0.00,0.00,0.00,0.79,15.03,15.03,15.03,9.51,0.00,6.19,0.00,0.00,0.00,15.03,15.03,0.00,0.00,0.00
TWN.Central,TWNZ0,COA_SUB,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,COA_SUB,AS T3,,0.00,0.00,0.00,95.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.56,0.00,0.00,0.00,248.41,239.32,0.00,0.00,0.00
TWN.Central,TWNZ0,COA_SC,Gross Output,5500.0,323.79,0.00,1543.01,4950.00,4950.00,4950.00,4265.89,4580.02,10.96,39.82,1097.57,4934.09,4939.61,4950.00,3201.92,3894.87,2841.11,1988.50,4905.45,4921.41,4933.91,4950.00,4950.00,4950.00,38.43,49.89,2653.88,4928.07,4937.17,4950.00,2926.20,4342.06
TWN.Central,TWNZ0,COA_SC,Net Output,5500.0,301.12,0.00,1434.99,4603.50,4603.50,4603.50,3967.28,4259.42,10.20,37.03,1020.74,4588.70,4593.84,4603.50,2977.79,3622.23,2642.23,1849.30,4562.07,4576.91,4588.54,4603.50,4603.50,4603.50,35.74,46.40,2468.11,4583.11,4591.57,4603.50,2721.37,4038.12
TWN.Central,TWNZ0,COA_SC,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.48,19.91,32.20,15.91,10.39,0.00,0.00,0.00,33.75,44.55,44.55,28.59,16.09,0.00,0.00,0.00,19.21,24.95,38.26,21.93,12.83,0.00,0.00,0.00
TWN.Central,TWNZ0,COA_SC,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,267.94,0.00,0.00,0.00,0.00,0.00,0.00,57.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,COA_SC,AS T3,,212.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.84,245.20,267.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,GAS_OCGT,Gross Output,2406.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
