Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),52691.084616603424,1533.745,1589.384,1577.365,1618.887,1605.757,1384.626,1264.927,1363.918,1679.229,1785.195,1793.514,1784.437,1743.642,1516.393,1390.328,1492.866,1805.197,1972.013,2006.232,1950.528,1858.650,1626.388,1499.591,1601.914,1679.792,1802.338,1818.005,1808.763,1742.437,1513.135,1390.532,1491.354
TWN.Central,TWNZ0,Residual Demand(GWh),0,1499.433,1540.477,1530.521,1584.281,1583.073,1368.221,1247.679,1343.714,1652.938,1744.947,1759.519,1768.305,1734.767,1509.809,1383.191,1482.894,1780.320,1937.770,1979.431,1939.006,1849.241,1615.933,1489.184,1590.023,1646.890,1754.630,1773.984,1780.340,1721.711,1497.177,1374.528,1473.331
TWN.Central,TWNZ0,Zone Supply(GWh),70896.1372816984,2100.657,2129.935,2144.277,2139.388,2110.846,1951.538,1778.353,1930.830,2258.739,2364.705,2373.024,2363.947,2323.151,2095.903,1969.838,2072.376,2384.707,2551.522,2585.742,2530.038,2438.160,2205.898,2079.101,2181.423,2253.003,2375.548,2391.215,2381.974,2315.648,2086.346,1963.742,2064.565
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,73.364624782751,0.000,0.000,0.000,19.738,26.813,0.000,26.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,106.37811912430831,0.000,26.360,0.000,26.673,26.673,0.000,26.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,18384.795409002014,566.912,566.912,566.912,566.912,558.575,566.912,566.912,566.912,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,579.510,573.211,573.211,573.211,573.211,573.211,573.211,573.211,573.211
TWN.Central,TWNZ0,Export to: TWNZ1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Demand(GWh),9490.274411043583,271.064,281.272,279.222,286.480,283.988,244.392,222.947,240.677,302.184,326.488,330.257,324.934,312.959,271.689,248.959,267.333,328.189,361.386,368.934,356.515,337.197,295.266,272.474,290.802,301.800,325.905,329.628,326.475,312.659,271.365,249.393,267.443
TWN.East,TWNZ1,Residual Demand(GWh),0,268.886,277.607,277.093,286.368,283.988,244.392,222.947,240.545,299.085,322.006,327.474,324.580,312.959,271.689,248.959,266.892,325.506,357.684,366.601,356.146,337.197,295.266,272.474,290.325,299.133,321.811,327.217,326.291,312.659,271.365,249.393,267.187
TWN.East,TWNZ1,Zone Supply(GWh),5106.62758120087,109.317,119.525,117.475,144.608,149.241,105.233,92.509,92.626,136.843,161.147,164.916,159.593,198.813,222.845,89.430,101.991,162.848,196.045,347.505,191.173,339.271,192.080,107.133,318.402,138.256,162.361,166.083,162.931,149.115,107.821,95.594,103.899
TWN.East,TWNZ1,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ2,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ3,5333.522556452443,188.747,188.747,188.747,188.747,188.747,166.159,184.438,175.051,192.941,192.941,192.941,192.941,141.747,76.444,187.129,192.941,192.941,192.941,49.029,192.941,25.526,130.787,192.941,0.000,190.844,190.844,190.844,190.844,190.844,190.844,181.098,190.844
