Zone code,Zone ID,Flow,Annual Total(GWh),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
CRI.All,CRIZ0,Demand(MW),1684.7086719484998,1856.12,1780.10,1576.94,1540.65,1665.41,1783.20,1796.72,1791.77,1875.30,1787.76,1583.98,1548.03,1673.18,1802.45,1834.91,1830.08,1861.54,1785.15,1582.24,1546.15,1671.25,1789.11,1802.07,1796.91,1860.75,1784.07,1581.08,1544.97,1670.16,1788.24,1801.23,1796.11
CRI.All,CRIZ0,Residual Demand(MW),0,1511.32,1430.48,1225.56,1184.66,1299.60,1404.46,1431.12,1442.13,1584.55,1493.34,1285.75,1241.23,1345.44,1471.11,1532.36,1538.12,1612.55,1529.34,1322.68,1277.46,1397.52,1497.01,1528.16,1543.41,1610.92,1528.09,1320.34,1278.64,1403.62,1504.31,1531.34,1547.55
CRI.All,CRIZ0,Zone Supply(MW),1398.4720896317629,852.22,771.06,666.75,580.99,748.26,761.18,748.04,778.00,753.59,666.06,571.84,520.83,644.12,680.74,713.21,708.37,2277.53,2213.98,2049.08,2036.78,2182.85,2220.02,2273.89,2179.68,2239.22,2182.66,2047.50,2020.73,2158.33,2210.61,2249.93,2269.07
CRI.All,CRIZ0,Spilled Energy(MW),0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: NICZ2,13.74554341212016,5.14,2.04,0.00,0.00,0.00,10.80,36.27,39.71,45.93,45.93,45.93,36.41,45.93,45.93,45.93,45.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: NICZ3,489.99607999688874,998.76,1007.00,910.20,959.66,917.16,1011.22,1012.41,974.05,1075.77,1075.77,966.21,990.78,983.12,1075.77,1075.77,1075.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: ET2286,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF1,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: ET814,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: NICZ2,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
