Zone code,Zone ID,Flow,Annual Total(GWh),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
CRI.All,CRIZ0,Demand(MW),1475.4645614364333,1625.72,1559.06,1381.12,1349.33,1458.64,1561.85,1573.68,1569.34,1642.11,1565.66,1387.21,1355.72,1465.37,1578.32,1606.15,1601.90,1630.48,1563.50,1385.77,1354.17,1463.76,1567.04,1578.39,1573.87,1629.79,1562.58,1384.78,1353.15,1462.82,1566.28,1577.65,1573.17
CRI.All,CRIZ0,Residual Demand(MW),0,1078.23,1001.07,819.29,777.43,860.03,923.45,963.78,1005.03,1212.68,1128.30,941.54,891.28,950.16,1045.46,1136.25,1164.30,1292.33,1210.53,1024.59,973.00,1068.04,1124.13,1175.46,1222.18,1289.84,1209.23,1021.04,977.19,1082.92,1140.12,1182.24,1232.20
CRI.All,CRIZ0,Zone Supply(MW),1618.4427781467643,1625.72,1601.51,1612.13,1639.94,1669.74,1731.79,1651.85,1584.58,1532.05,1565.66,1387.21,1355.72,1407.41,1402.52,1524.73,1482.98,2006.52,1822.69,1579.88,1524.08,1695.46,1882.08,1816.08,1853.33,1995.53,1873.78,1604.95,1584.38,1742.03,1784.42,1821.88,1846.41
CRI.All,CRIZ0,Spilled Energy(MW),0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: NICZ3,16.551852855640895,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.06,0.00,0.00,0.00,57.97,175.80,81.41,118.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: ET2286,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Import from: CRIZF1,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: ET814,3.7124732894229147,0.00,0.00,0.00,100.00,22.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CRI.All,CRIZ0,Export to: NICZ3,155.81759627654935,0.00,42.45,231.01,190.61,189.04,169.94,78.17,15.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,376.04,259.20,194.11,169.91,231.70,315.05,237.69,279.45,365.74,311.21,220.16,231.23,279.21,218.15,244.23,273.24
