Zone code,Zone ID,Flow,Annual Total(GWh),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.Central,TWNZ0,Demand(GWh),72716.15692764487,2116.003,2192.763,2176.182,2233.467,2215.415,1910.367,1745.226,1881.797,2316.860,2463.496,2475.161,2462.313,2406.399,2093.209,1919.272,2060.737,2490.831,2721.976,2769.614,2692.026,2565.060,2244.852,2069.895,2211.062,2317.689,2487.361,2509.234,2496.039,2404.787,2088.763,1919.604,2058.702
TWN.Central,TWNZ0,Residual Demand(GWh),0,1315.673,972.042,1369.931,2056.031,2106.966,1822.587,1658.397,1749.428,1428.237,1215.953,1617.693,2281.599,2353.990,2049.207,1873.212,1889.022,1704.487,1682.698,2082.419,2534.359,2511.404,2188.198,2013.914,2022.684,1522.718,1298.834,1713.564,2326.254,2309.081,2006.823,1839.062,1905.276
TWN.Central,TWNZ0,Zone Supply(GWh),72363.34366446392,1462.534,1882.925,1671.705,2193.320,2124.333,2011.289,1354.182,1881.797,2040.727,2407.829,2102.903,2609.149,2482.404,2471.162,1841.150,2171.607,2493.160,2683.789,3107.625,2685.817,2585.347,2480.151,2476.719,2612.818,1936.161,2339.185,2490.778,2663.046,2533.636,2482.364,1802.575,2281.160
TWN.Central,TWNZ0,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ1,174.19899292175802,0.000,61.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.788,0.000,0.000,0.000,0.000,25.006,0.000
TWN.Central,TWNZ0,Import from: TWNZ2,1181.44517195999,0.000,0.000,0.000,227.397,243.395,0.000,243.395,0.000,0.000,0.000,0.000,4.315,105.519,0.000,0.000,0.000,0.000,0.000,0.000,157.361,164.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.308,0.000,0.000,0.000
TWN.Central,TWNZ0,Import from: TWNZ3,6067.009925833426,707.484,248.813,710.923,0.000,0.000,0.000,147.648,0.000,338.260,73.796,721.224,0.000,0.000,0.000,93.787,113.521,600.580,660.741,206.753,0.000,0.000,0.000,0.000,0.000,573.495,260.981,495.977,0.000,0.000,0.000,92.024,21.004
TWN.Central,TWNZ0,Import from: TWNZF1,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ3,1655.6863586046986,0.000,0.000,0.000,147.865,127.039,41.175,0.000,0.000,0.000,0.000,0.000,151.151,151.151,124.733,0.000,0.000,0.000,0.000,0.000,151.151,151.151,151.151,47.164,0.000,0.000,0.000,0.000,149.508,149.508,112.939,0.000,0.000
TWN.Central,TWNZ0,Export to: TWNZ2,5114.78415662203,54.015,0.000,206.445,0.000,0.000,0.000,0.000,0.000,62.127,80.510,348.966,0.000,0.000,244.594,15.665,224.390,602.909,622.554,544.764,0.000,0.000,18.717,355.168,401.756,191.967,138.593,477.521,0.000,0.000,280.663,0.000,243.462
TWN.Central,TWNZ0,Export to: TWNZ1,299.37031230747283,0.000,0.000,0.000,39.385,25.275,59.747,0.000,0.000,0.000,0.000,0.000,0.000,30.372,8.626,0.000,0.000,0.000,0.000,0.000,0.000,33.892,65.431,4.493,0.000,0.000,0.000,0.000,17.499,14.649,0.000,0.000,0.000
TWN.East,TWNZ1,Demand(GWh),13097.019439952119,373.958,388.043,385.216,395.227,391.822,337.213,307.628,332.087,416.932,450.589,455.843,448.406,431.905,375.022,343.661,369.009,452.835,498.843,509.345,492.057,465.317,407.494,376.046,401.330,416.402,449.785,454.975,450.532,431.493,374.578,344.262,369.164
TWN.East,TWNZ1,Residual Demand(GWh),0,4.559,-161.582,38.731,321.213,322.995,264.497,239.037,244.239,-66.742,-195.477,17.978,353.054,392.371,334.063,303.693,259.197,17.548,-60.985,124.235,387.216,420.183,364.095,331.179,281.086,-13.342,-157.092,61.770,369.147,373.182,314.828,286.460,274.809
TWN.East,TWNZ1,Zone Supply(GWh),16973.442169680246,574.837,736.909,552.403,329.509,340.117,251.274,247.148,268.014,851.808,1016.514,800.946,425.767,374.546,366.455,365.464,441.630,791.755,939.517,746.161,464.860,404.463,370.116,371.584,454.349,787.560,973.394,747.772,406.253,390.044,382.071,380.123,420.078
TWN.East,TWNZ1,Spilled Energy(GWh),0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ0,297.2991487388047,0.000,0.000,0.000,39.113,25.100,59.334,0.000,0.000,0.000,0.000,0.000,0.000,30.162,8.567,0.000,0.000,0.000,0.000,0.000,0.000,33.657,64.979,4.462,0.000,0.000,0.000,0.000,17.378,14.548,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ2,269.00955899999997,0.000,0.000,0.000,26.605,26.605,26.605,26.605,0.000,0.000,0.000,0.000,27.197,27.197,0.000,0.000,0.000,0.000,0.000,0.000,27.197,27.197,0.000,0.000,0.000,0.000,0.000,0.000,26.901,26.901,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZ3,160.38344538528852,0.000,0.000,0.000,0.000,0.000,0.000,33.874,64.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.436,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Import from: TWNZF2,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TWN.East,TWNZ1,Export to: TWNZ3,39.65055430165732,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.493,0.000,0.000
TWN.East,TWNZ1,Export to: TWNZ0,175.41256722686035,0.000,61.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.968,0.000,0.000,0.000,0.000,25.180,0.000
TWN.East,TWNZ1,Export to: TWNZ2,4388.051761323708,200.879,287.417,167.187,0.000,0.000,0.000,0.000,0.000,434.876,503.110,345.103,0.000,0.000,0.000,21.803,72.621,338.921,503.110,236.816,0.000,0.000,0.000,0.000,53.019,371.158,497.641,292.797,0.000,0.000,0.000,10.680,50.915
TWN.North,TWNZ2,Demand(GWh),159158.58445882145,4728.099,4897.791,4861.146,4987.785,4947.253,4272.419,3907.335,4209.362,5088.052,5296.034,5272.136,5333.167,5302.297,4618.444,4237.352,4549.961,5427.163,5852.541,5921.286,5812.750,5606.062,4906.836,4522.150,4834.202,5078.068,5323.141,5316.025,5383.903,5290.823,4603.279,4232.063,4539.658
TWN.North,TWNZ2,Residual Demand(GWh),0,4436.797,4516.403,4544.792,4796.644,4776.702,4119.334,3762.758,4054.888,4828.322,4943.473,4999.645,5221.830,5229.370,4555.260,4175.010,4455.666,5188.770,5548.795,5690.443,5724.464,5548.427,4847.360,4461.639,4741.004,4780.358,4931.176,4996.192,5212.490,5146.346,4471.315,4102.436,4391.935
